video_id,title,view_count,like_count,comment_count,timestamp
I-bKzj7yXNM,홍구 앞마당 밀더니? ... 본인이 이겼으니 나가라며 도발치는 상대 ㅋㅋㅋㅋㅋ,93368,961,56,2025-12-13 18:28:38
7CTSd2XRZm0,내려와라 ㅆ,92457,1542,213,2025-12-13 18:28:38
Dc4Cmv74_vU,영40~50 음방,92325,1692,2,2025-12-13 18:28:38
S1P9GOUnPF0,한국에서 모인 LA 갱스터들,91640,779,49,2025-12-13 18:28:38
F6s31fWwZFk,✨새 유부녀 등장✨ 피아노로 힐링시켜주는 성녀님?!,89211,3437,258,2025-12-13 18:28:38
83MebXm_M2A,제로부터 시작하는 무한의계단...??,87704,2198,156,2025-12-13 18:28:38
eXia3AlXIK4,게임은 까도 브금은 못 까는 게임 | 포켓몬 브금 월드컵 256강【이상형 월드컵】,87523,1768,471,2025-12-13 18:28:38
yWkZfKjPDbQ,성시경- 히로인(ヒロイン 원곡: Back number),86933,1153,0,2025-12-13 18:28:38
lt31-8GZ_VY,이상한 카트 타고 게임하기 최종 검수본,79849,1224,162,2025-12-13 18:28:38
KL1NenklBls,【대회】 T1 결승 진출 ㄷㄷ 짜릿한 역전승 / 한화생명과 리턴 매치! / DK 대회 3위 - 롤 이스포츠,79430,485,365,2025-12-13 18:28:38
SQQmRcaapvo,나 오공 된다니까 진짜..! 돌아온 협곡 개그맨 ㅋㅋㅋㅋ,79021,502,63,2025-12-13 18:28:38
B2qJp1gCehk,현재 1등 12만 키네시스 소양을님 계정으로 리마스터 체험해볼게요 ㄱㄱ링,77897,178,4,2025-12-13 18:28:38
7w7WlTbMSvw,네메시스가 브론즈인척 하며 져주다가 갑자기 이겨버리면 생기는 일ㅋㅋㅋㅋ,77437,2278,97,2025-12-13 18:28:38
ja4xerxhFow,"이번 SLL, 팔딱팔딱한 멤버들과 함께합니다",75024,541,51,2025-12-13 18:28:38
vPurdTmprkk,금지 당해 사라진 브레인롯들을 얻었습니다... [브레인롯 훔치기],75023,1733,192,2025-12-13 18:28:38
HwFF3CyKfJA,"그 시절 사이온이 돌아왔습니다. 단 한방에 터트리는 미친 뽕맛 ""옛날 강심 사이온 전략"" 😱",71108,827,137,2025-12-13 18:28:38
DFtQ_lWtv04,하늘이 내려준 기적의 역대급 황금 3성 녹서스덱,71075,405,41,2025-12-13 18:28:38
l_X-zbyIz-4,새 칼 팔 생각에 신나버린 20살 최강림. 신비아파트 신작영화 예고편 완벽분석!,70540,1386,287,2025-12-13 18:28:38
2Aj5ejfJLcA,신들린 셰리프 샷을 보여줬던 날...,70306,1478,122,2025-12-13 18:28:38
Ev81LD1_ClU,[빅보스 12. 13 ] 리니지m : 야히 투구 제작 이제 끝이 보이네 ?? (연금 100개 준비 완료),69297,2609,24,2025-12-13 18:28:38
rDcu_wC3gtA,배그 에땁 킬당 만원 미션,68507,1108,94,2025-12-13 18:28:38
kqC5R90Zl6s,HARARI FLOW (feat. GGM Kimbo),68023,1198,0,2025-12-13 18:28:38
Wr7Lzq6yCT4,MIDNIGHT SKY,67597,1000,17,2025-12-13 18:28:38
SBS0-KkN_Lo,소고기를 먹고 미쳐버린 공포의 소 ㄷㄷ,66148,641,59,2025-12-13 18:28:38
LgTXJYCgOmA,리마가 될 줄 몰랐으니깐!!!,63711,951,243,2025-12-13 18:28:38
BQc5-eAwmAM,"제 1회, 웃겨죽는 동숲 유튜버 낚시대회",63133,2631,303,2025-12-13 18:28:38
BI5TpG6mDoY,숏창이 떡상 이후 모먼트 즐라탄 쓰고 새팀 갑니다 이게 된다고???,62877,515,109,2025-12-13 18:28:38
LI_rPpSwdYk,식인 사슴이 고고프렌즈 6번째 멤버!? 사슴이랑 친구되는 방법 알아왔습니다 ㅋㅋ[99밤 포레스트],62410,841,188,2025-12-13 18:28:38
q-rXzOM_QKI,간만에 프로다운 칼폭 에이스,61856,1704,157,2025-12-13 18:28:38
mdppP5SSJm8,어메이징디지털서커스 7화 같이보기!! 폼니 앞에 나타난 탈출버튼..! 폼니의 선택은?!,58874,1167,166,2025-12-13 18:28:38
xyhn1TJF7Ig,🔥롤판 역대급 이적시장ㅣ전체 팀 스쿼드 비교 핥기! 2026 스토브리그 스타들의 대거 이적🔥 [찍어x3],57796,531,106,2025-12-13 18:28:38
v8rIvfomN0o,[디아블로4:시즌11] 팔라딘 1일차 후기 & 초반 레벨링 빌드 간략 가이드 (축방 빌드),57055,803,117,2025-12-13 18:28:38
fFva-GhqNQ4,"""애교벌칙"" ㅋㅋㅋㅋ걸고 '99밤 스피드런' vs '브훔 시크릿'얻기!!! 과연 레전드 애교 벌칙에 걸린 사람은??? (로블록스 브레인롯훔치기)",55216,1248,125,2025-12-13 18:28:38
bpoBL5rRmBY,결국 1000만원을 질렀습니다ㅋㅋㅋ시청자말듣고 파산했습니다ㅋㅋㅋㅋ : 메이플키우기,53836,871,236,2025-12-13 18:28:38
Lx0hbpH186k,라이벌 시즌2 업데이트! 신규 키스킨 4종 + 신무기 추가 그리고 ''스나 너프''까지?! [라이벌],53710,399,103,2025-12-13 18:28:38
HoxGdgtsKvI,"토탈워: 워해머 40,000 - 발표 트레일러",50398,1034,369,2025-12-13 18:28:38
dXiW2MWxb-0,레전드 추격전,48017,1335,183,2025-12-13 18:28:38
XNkvCwln1LE,Marry Me (with. Gu Yoon Hoe),43440,120,9,2025-12-13 18:28:38
lXe9nhIgfQo,Perfect Sunset,42638,1047,0,2025-12-13 18:28:38
PYJ-_zgg_9I,[25.12.11] 아이온 마도성 2800++ (무과금),41381,199,1,2025-12-13 18:28:38
Nu-Heck9TY8,이 영상은 팀오비스트와 유기사가 17분 동안 소리 지르는 영상입니다.,37131,651,61,2025-12-13 18:28:38
E7d1at-vzCY,업데이트로 나온 새로운 총인데 30발 쓸수 있는 점사인데 얼음광선 달려있음 ㅋㅋㅋㅋㅋㅋㅋ (로블록스) - 라이벌,36220,388,73,2025-12-13 18:28:38
bbdHOE6MmIA,빨무에서 퀸 3부대를 뽑으면 생기는 일ㅋㅋ 진짜 재밌습니다,34911,703,23,2025-12-13 18:28:38
eJXXH69ZP58,2025 칼페온 연회 | 검은사막 Black Desert,34113,679,140,2025-12-13 18:28:38
Y9krgTl2wBo,"""23세, 알콜중독 여자 히어로💥"" ≪슈퍼걸≫ 1차 예고편 나노분석",33641,706,105,2025-12-13 18:28:38
ml1O-QRfKVY,TimeFeveR(타임피버) - 오늘 처음 봤지만 (feat. Gist) Official M/V,31778,1073,149,2025-12-13 18:28:38
hgln65H8jJA,12월이 되면 듣고 싶은 7080 노래 🎧 7080 추억의 노래 25곡 모음 |50대 60대 마음을 울리는 추억의 노래.바람바람바람/귀거래사/그집앞,30065,301,11,2025-12-13 18:28:38
r7bDKWp-qkE,12월 13일 (토) 장기 방송!! [화이팅 장기],25217,58,0,2025-12-13 18:28:38
PCwNkoJZB-Y,신창섭 메이플 쇼케이스 3분 완전 요약,24179,123,84,2025-12-13 18:28:38
CqH5EjkfOBA,마크에이지 리턴즈3 2회차 초반부터 번지는 불신 :  4부 (완결) | 악어 마인크래프트 M.C.Age Returns 3,23612,358,94,2025-12-13 18:28:38
MXz5PD4mrnQ,I couldn’t say,20657,265,2,2025-12-13 18:28:38
