video_id,title,view_count,like_count,comment_count,timestamp
bpoBL5rRmBY,결국 1000만원을 질렀습니다ㅋㅋㅋ시청자말듣고 파산했습니다ㅋㅋㅋㅋ : 메이플키우기,100918,1286,310,2025-12-14 05:49:31
3WUiRt1HQqI,"진짜 크로아 서버 뭐 있나..?! 운빨 레전드 대장장이 ㄷㄷ [팡이요,  메이플스토리]",100500,442,37,2025-12-14 05:49:31
S1P9GOUnPF0,한국에서 모인 LA 갱스터들,98891,835,52,2025-12-14 05:49:31
lt31-8GZ_VY,이상한 카트 타고 게임하기 최종 검수본,98637,1381,169,2025-12-14 05:49:31
trPCFCi2n1k,25.12.13 토요일｜메이플 겨울 쇼케이스 + 테섭 리뷰,98461,246,2,2025-12-14 05:49:31
yWkZfKjPDbQ,성시경- 히로인(ヒロイン 원곡: Back number),96590,1277,0,2025-12-14 05:49:31
BQc5-eAwmAM,"제 1회, 웃겨죽는 동숲 유튜버 낚시대회",95250,3363,343,2025-12-14 05:49:31
7w7WlTbMSvw,네메시스가 브론즈인척 하며 져주다가 갑자기 이겨버리면 생기는 일ㅋㅋㅋㅋ,94708,2712,109,2025-12-14 05:49:31
xCp7gGaiA54,케스파컵에서 도파민 느껴버린 T1 팬들? 페이즈에게 쏟아진 극찬! 김대호 감독 주차장 피드백 논쟁?? 롤이슈 붐바야,94645,786,579,2025-12-14 05:49:31
Lo4qunqHFo4,배틀그라운드에서 가장 쉬운 AR ( 의외로 좋은데? ),90596,1655,136,2025-12-14 05:49:31
q-rXzOM_QKI,간만에 프로다운 칼폭 에이스,84330,2095,178,2025-12-14 05:49:31
vfGGJ_RQ5aI,적으로 만나기 싫은 트페,84127,531,91,2025-12-14 05:49:31
B2qJp1gCehk,현재 1등 12만 키네시스 소양을님 계정으로 리마스터 체험해볼게요 ㄱㄱ링,83866,189,11,2025-12-14 05:49:31
BI5TpG6mDoY,[3부] 숏창이 떡상 이후 모먼트 즐라탄 쓰고 새팀 갑니다 이게 된다고???,83120,596,116,2025-12-14 05:49:31
DFtQ_lWtv04,하늘이 내려준 기적의 역대급 황금 3성 녹서스덱,82718,457,43,2025-12-14 05:49:31
